"MI";"51008";"    Paranatinga";"1804";"2880";"1721";"3251";"3342";"3614";"4231";"2769";"4223";"4597";"5732";"4530";"5499";"2198";"5532";"5159";"5713";"6170";"5976";"5926";"6115";"6100"
"MU";"5103858";"      Gaúcha do Norte";"-";"-";"1800";"3600";"3600";"3186";"4549";"2836";"4500";"4980";"4730";"2241";"5100";"2400";"5780";"4800";"5700";"6150";"6150";"6150";"6100";"6050"
"MU";"5106208";"      Nova Brasilândia";"2400";"3200";"3200";"3000";"2400";"3000";"3137";"1500";"-";"-";"3357";"5700";"4800";"1800";"4240";"4800";"4800";"6150";"4500";"4500";"6150";"6000"
"MU";"5106307";"      Paranatinga";"1500";"2800";"1500";"3000";"3000";"4367";"2000";"2767";"4020";"4213";"6245";"6000";"5700";"1800";"5700";"6000";"5820";"6200";"5820";"5820";"6120";"6180"
"MU";"5106455";"      Planalto da Serra";"1500";"-";"2400";"3200";"3500";"4200";"4301";"2400";"3983";"4665";"5880";"5100";"4740";"2400";"3367";"3180";"2800";"6000";"6000";"5000";"6150";"5500"
"ME";"5102";"  Nordeste Mato-grossense";"3670";"3403";"3482";"4758";"4679";"4205";"4852";"3747";"4204";"5336";"5731";"5529";"6257";"3265";"5826";"5783";"6368";"6394";"5879";"5689";"6418";"6518"
"MI";"51009";"    Norte Araguaia";"-";"2107";"3708";"3506";"1823";"4235";"5185";"3529";"3825";"4938";"5321";"5526";"6009";"3875";"5814";"6150";"6932";"6194";"6234";"6196";"6655";"6469"
"MU";"5100359";"      Alto Boa Vista";"-";"-";"4500";"-";"-";"-";"4800";"-";"3600";"5880";"5880";"5880";"5700";"2040";"5700";"5700";"5700";"5700";"4000";"5700";"6600";"6750"
"MU";"5101852";"      Bom Jesus do Araguaia";"-";"-";"-";"-";"-";"4800";"5400";"3000";"3600";"4800";"4800";"5812";"6300";"4500";"6214";"6300";"7140";"6271";"6262";"6300";"6600";"6339"
"MU";"5102694";"      Canabrava do Norte";"-";"-";"3900";"3600";"1800";"-";"-";"-";"3000";"5400";"5000";"6000";"5400";"4800";"5400";"6600";"6900";"5400";"6000";"6000";"6780";"6600"
"MU";"5103353";"      Confresa";"-";"-";"-";"-";"-";"-";"-";"-";"3000";"4800";"5400";"5400";"6000";"4800";"5400";"6600";"6300";"5700";"6000";"6000";"6780";"6600"
"MU";"5105309";"      Luciara";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4286";"4286";"-";"-";"-";"-";"-"
"MU";"5106315";"      Novo Santo Antônio";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5100";"5100";"5100";"5100";"5100";"6600";"5100"
"MU";"5106778";"      Porto Alegre do Norte";"-";"2500";"2090";"-";"-";"-";"-";"-";"3600";"5400";"5000";"6000";"6000";"4800";"5400";"6000";"7200";"6000";"7000";"6333";"6780";"6600"
"MU";"5107180";"      Ribeirão Cascalheira";"-";"-";"-";"-";"-";"3600";"4868";"3000";"2580";"4200";"6000";"6000";"6300";"1800";"5700";"6000";"6000";"5400";"5400";"5100";"6000";"6600"
"MU";"5107743";"      Santa Cruz do Xingu";"-";"-";"-";"-";"-";"-";"2350";"-";"2800";"4200";"5400";"5400";"6000";"4800";"5400";"6000";"6900";"6600";"7000";"6500";"7080";"6600"
"MU";"5107776";"      Santa Terezinha";"-";"-";"-";"-";"-";"3800";"7135";"-";"-";"5280";"5400";"5400";"5400";"4800";"5000";"4800";"5100";"6300";"6000";"5367";"6960";"6600"
"MU";"5107859";"      São Félix do Araguaia";"-";"-";"-";"2381";"2381";"4167";"4243";"3600";"5400";"5625";"5700";"5120";"6300";"2880";"6252";"6300";"7380";"6300";"6284";"6295";"6600";"6293"
"MU";"5107354";"      São José do Xingu";"-";"2100";"-";"-";"-";"-";"-";"-";"3000";"4200";"5400";"5400";"5400";"4800";"5400";"6000";"6900";"6600";"7000";"6500";"6780";"6600"
"MU";"5107883";"      Serra Nova Dourada";"-";"-";"-";"-";"-";"-";"3429";"-";"-";"-";"-";"-";"5400";"2100";"5400";"5400";"5400";"5400";"5400";"5400";"6600";"6600"
"MU";"5108600";"      Vila Rica";"-";"-";"-";"-";"-";"-";"-";"-";"3000";"5400";"5400";"5400";"5400";"4800";"6600";"6000";"6936";"6300";"6000";"6300";"6780";"6600"
"MI";"51010";"    Canarana";"3670";"3815";"3470";"4781";"4781";"4202";"4677";"3764";"4328";"5540";"5873";"5527";"6397";"2484";"5837";"5459";"5875";"6551";"5628";"5294";"6213";"6619"
"MU";"5100201";"      Água Boa";"-";"3000";"2400";"-";"-";"3600";"4200";"2700";"4200";"4500";"4800";"4800";"6600";"2100";"4800";"5100";"6300";"5700";"5700";"5100";"5880";"6600"
"MU";"5102603";"      Campinápolis";"-";"-";"-";"-";"-";"-";"-";"...";"...";"...";"4800";"4800";"6000";"2100";"5100";"5400";"6000";"6000";"5400";"5100";"6120";"6600"
"MU";"5102702";"      Canarana";"2000";"-";"2915";"-";"-";"5000";"5000";"3000";"4200";"4980";"5880";"5956";"6600";"1815";"5704";"5100";"6300";"6600";"5900";"5100";"6120";"6700"
"MU";"5106174";"      Nova Nazaré";"-";"-";"-";"-";"-";"-";"2795";"...";"...";"-";"4800";"4800";"5700";"2100";"4800";"5100";"6300";"5700";"5400";"5100";"6000";"5900"
"MU";"5106257";"      Nova Xavantina";"-";"-";"-";"-";"...";"2700";"-";"1800";"3600";"4800";"5400";"5400";"6000";"1692";"5100";"6000";"6000";"6000";"3000";"5100";"6120";"6000"
"MU";"5106281";"      Novo São Joaquim";"4277";"4319";"4104";"5000";"5000";"3600";"4854";"4270";"3900";"6000";"5700";"6000";"5700";"3300";"6305";"6000";"6000";"7200";"5121";"5417";"6255";"6900"
